pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
1,1526344121,e,arp,192.168.100.1,,192.168.100.3,,4,240,CON,1526345317,9,1195.996582,6.00E-06,2.00E-06,,,1.10E-05,4.00E-06,7.00E-06,,,,,2,2,120,120,0.002508,0.000836,0.000836,0,Normal,Normal
2,1526344223,e,tcp,192.168.100.7,139,192.168.100.4,36390,10,680,CON,1526345677,10,1453.945923,2.80E-05,8.00E-06,,,0.000138,2.20E-05,4.20E-05,,,,,5,5,350,330,0.00619,0.002751,0.002751,0,Normal,Normal
3,1526344227,e,udp,192.168.100.149,51838,27.124.125.250,123,2,180,CON,1526344227,11,0.048565,0.048565,0,,,0.048565,0.048565,0.048565,,,,,1,1,90,90,20.59096,0,0,0,Normal,Normal
4,1526344228,e,arp,192.168.100.4,,192.168.100.7,,10,510,CON,1526345682,12,1454.080322,0.000238,2.20E-05,,,0.001189,0.000199,0.000261,,,,,5,5,210,300,0.006189,0.002751,0.002751,0,Normal,Normal
5,1526344303,e,udp,192.168.100.27,58999,192.168.100.1,53,4,630,CON,1526344873,14,569.93396,0.098505,0.08015,,,0.197011,0.018356,0.178655,,,,,2,2,174,456,0.005264,0.001755,0.001755,0,Normal,Normal
6,1526344303,e,arp,192.168.100.1,,192.168.100.27,,2,120,CON,1526344303,15,0.000367,0.000367,0,,,0.000367,0.000367,0.000367,,,,,1,1,60,60,2724.795654,0,0,0,Normal,Normal
7,1526344308,e,arp,192.168.100.27,,192.168.100.1,,4,240,CON,1526344878,16,569.855957,0.000122,2.50E-05,,,0.000243,9.70E-05,0.000146,,,,,2,2,120,120,0.005264,0.001755,0.001755,0,Normal,Normal
8,1526344326,e,udp,192.168.100.150,58360,192.168.217.2,53,2,172,INT,1526344329,18,2.500101,0,0,,,0,0,0,,,,,2,0,172,0,0.399984,0.399984,0,0,Normal,Normal
9,1526344328,e,udp,192.168.100.149,37214,192.168.217.2,53,2,172,INT,1526344331,41,2.501101,0,0,,,0,0,0,,,,,2,0,172,0,0.399824,0.399824,0,0,Normal,Normal
10,1526344332,e,arp,192.168.100.150,,192.168.100.1,,6,360,CON,1526345484,65,1152.256592,9.10E-05,1.40E-05,,,0.000273,7.50E-05,0.000109,,,,,3,3,180,180,0.004339,0.001736,0.001736,0,Normal,Normal
11,1526344332,e,udp,192.168.100.7,138,192.168.100.255,138,4,1086,INT,1526345061,104,728.37085,7.70E-05,1.60E-05,,,0.000154,6.10E-05,9.30E-05,,,,,4,0,1086,0,0.004119,0.004119,0,0,Normal,Normal
12,1526344333,e,udp,192.168.100.150,57950,8.8.8.8,53,2,172,CON,1526344333,107,0.007523,0.007523,0,,,0.007523,0.007523,0.007523,,,,,1,1,86,86,132.925705,0,0,0,Normal,Normal
13,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8080,2,120,RST,1526344333,108,0.000108,0.000108,0,,,0.000108,0.000108,0.000108,,,,,1,1,60,60,9259.258789,0,0,1,Reconnaissance,Service_Scan
14,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,554,2,120,RST,1526344333,109,0.000107,0.000107,0,,,0.000107,0.000107,0.000107,,,,,1,1,60,60,9345.793945,0,0,1,Reconnaissance,Service_Scan
15,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,80,3,180,RST,1526344333,110,0.00022,0.00022,0,,,0.00022,0.00022,0.00022,,,,,2,1,120,60,9090.90918,4545.45459,0,1,Reconnaissance,Service_Scan
16,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,443,2,120,RST,1526344333,111,0.000131,0.000131,0,,,0.000131,0.000131,0.000131,,,,,1,1,60,60,7633.588379,0,0,1,Reconnaissance,Service_Scan
17,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,111,2,120,RST,1526344333,112,0.00013,0.00013,0,,,0.00013,0.00013,0.00013,,,,,1,1,60,60,7692.307617,0,0,1,Reconnaissance,Service_Scan
18,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,143,3,180,RST,1526344333,113,0.000246,0.000246,0,,,0.000246,0.000246,0.000246,,,,,2,1,120,60,8130.081055,4065.040527,0,1,Reconnaissance,Service_Scan
19,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,110,3,180,RST,1526344333,114,0.000242,0.000242,0,,,0.000242,0.000242,0.000242,,,,,2,1,120,60,8264.462891,4132.231445,0,1,Reconnaissance,Service_Scan
20,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3306,3,180,RST,1526344333,115,0.000253,0.000253,0,,,0.000253,0.000253,0.000253,,,,,2,1,120,60,7905.138184,3952.569092,0,1,Reconnaissance,Service_Scan
21,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,23,2,120,RST,1526344333,116,0.0001,0.0001,0,,,0.0001,0.0001,0.0001,,,,,1,1,60,60,10000,0,0,1,Reconnaissance,Service_Scan
22,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,199,2,120,RST,1526344333,117,0.000105,0.000105,0,,,0.000105,0.000105,0.000105,,,,,1,1,60,60,9523.80957,0,0,1,Reconnaissance,Service_Scan
23,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1025,2,120,RST,1526344333,118,3.70E-05,3.70E-05,0,,,3.70E-05,3.70E-05,3.70E-05,,,,,1,1,60,60,27027.02539,0,0,1,Reconnaissance,Service_Scan
24,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,139,2,120,RST,1526344333,119,2.60E-05,2.60E-05,0,,,2.60E-05,2.60E-05,2.60E-05,,,,,1,1,60,60,38461.53906,0,0,1,Reconnaissance,Service_Scan
25,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,53,3,180,RST,1526344333,120,9.70E-05,9.70E-05,0,,,9.70E-05,9.70E-05,9.70E-05,,,,,2,1,120,60,20618.55664,10309.27832,0,1,Reconnaissance,Service_Scan
26,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,587,3,180,RST,1526344333,121,0.000137,0.000137,0,,,0.000137,0.000137,0.000137,,,,,2,1,120,60,14598.54102,7299.270508,0,1,Reconnaissance,Service_Scan
27,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,113,2,120,RST,1526344333,122,5.70E-05,5.70E-05,0,,,5.70E-05,5.70E-05,5.70E-05,,,,,1,1,60,60,17543.85938,0,0,1,Reconnaissance,Service_Scan
28,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,995,3,180,RST,1526344333,123,0.00012,0.00012,0,,,0.00012,0.00012,0.00012,,,,,2,1,120,60,16666.66797,8333.333984,0,1,Reconnaissance,Service_Scan
29,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1723,2,120,RST,1526344333,124,4.10E-05,4.10E-05,0,,,4.10E-05,4.10E-05,4.10E-05,,,,,1,1,60,60,24390.24414,0,0,1,Reconnaissance,Service_Scan
30,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1720,2,120,RST,1526344333,125,6.60E-05,6.60E-05,0,,,6.60E-05,6.60E-05,6.60E-05,,,,,1,1,60,60,15151.51465,0,0,1,Reconnaissance,Service_Scan
31,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,993,3,180,RST,1526344333,126,0.000105,0.000105,0,,,0.000105,0.000105,0.000105,,,,,2,1,120,60,19047.61914,9523.80957,0,1,Reconnaissance,Service_Scan
32,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,445,2,120,RST,1526344333,127,6.10E-05,6.10E-05,0,,,6.10E-05,6.10E-05,6.10E-05,,,,,1,1,60,60,16393.44336,0,0,1,Reconnaissance,Service_Scan
33,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,135,2,120,RST,1526344333,128,6.20E-05,6.20E-05,0,,,6.20E-05,6.20E-05,6.20E-05,,,,,1,1,60,60,16129.03223,0,0,1,Reconnaissance,Service_Scan
34,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5900,2,120,RST,1526344333,129,6.30E-05,6.30E-05,0,,,6.30E-05,6.30E-05,6.30E-05,,,,,1,1,60,60,15873.01563,0,0,1,Reconnaissance,Service_Scan
35,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,22,3,180,RST,1526344333,130,8.30E-05,8.30E-05,0,,,8.30E-05,8.30E-05,8.30E-05,,,,,2,1,120,60,24096.38672,12048.19336,0,1,Reconnaissance,Service_Scan
36,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,25,3,180,RST,1526344333,131,0.000111,0.000111,0,,,0.000111,0.000111,0.000111,,,,,2,1,120,60,18018.01758,9009.008789,0,1,Reconnaissance,Service_Scan
37,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8888,2,120,RST,1526344333,132,7.00E-06,7.00E-06,0,,,7.00E-06,7.00E-06,7.00E-06,,,,,1,1,60,60,142857.1406,0,0,1,Reconnaissance,Service_Scan
38,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,179,2,120,RST,1526344333,133,3.00E-05,3.00E-05,0,,,3.00E-05,3.00E-05,3.00E-05,,,,,1,1,60,60,33333.33594,0,0,1,Reconnaissance,Service_Scan
39,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,4002,2,120,RST,1526344333,134,4.50E-05,4.50E-05,0,,,4.50E-05,4.50E-05,4.50E-05,,,,,1,1,60,60,22222.22266,0,0,1,Reconnaissance,Service_Scan
40,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3389,2,120,RST,1526344333,135,8.00E-06,8.00E-06,0,,,8.00E-06,8.00E-06,8.00E-06,,,,,1,1,60,60,125000,0,0,1,Reconnaissance,Service_Scan
41,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,21,3,180,RST,1526344333,136,4.30E-05,4.30E-05,0,,,4.30E-05,4.30E-05,4.30E-05,,,,,2,1,120,60,46511.62891,23255.81445,0,1,Reconnaissance,Service_Scan
42,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,256,2,120,RST,1526344333,137,1.70E-05,1.70E-05,0,,,1.70E-05,1.70E-05,1.70E-05,,,,,1,1,60,60,58823.52734,0,0,1,Reconnaissance,Service_Scan
43,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1141,2,120,RST,1526344333,138,2.10E-05,2.10E-05,0,,,2.10E-05,2.10E-05,2.10E-05,,,,,1,1,60,60,47619.04688,0,0,1,Reconnaissance,Service_Scan
44,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,8192,2,120,RST,1526344333,139,1.40E-05,1.40E-05,0,,,1.40E-05,1.40E-05,1.40E-05,,,,,1,1,60,60,71428.57031,0,0,1,Reconnaissance,Service_Scan
45,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3914,2,120,RST,1526344333,140,2.90E-05,2.90E-05,0,,,2.90E-05,2.90E-05,2.90E-05,,,,,1,1,60,60,34482.75781,0,0,1,Reconnaissance,Service_Scan
46,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,11110,2,120,RST,1526344333,141,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
47,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,6567,2,120,RST,1526344333,142,2.20E-05,2.20E-05,0,,,2.20E-05,2.20E-05,2.20E-05,,,,,1,1,60,60,45454.54688,0,0,1,Reconnaissance,Service_Scan
48,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9009,2,120,RST,1526344333,143,4.00E-05,4.00E-05,0,,,4.00E-05,4.00E-05,4.00E-05,,,,,1,1,60,60,25000,0,0,1,Reconnaissance,Service_Scan
49,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9898,2,120,RST,1526344333,144,5.20E-05,5.20E-05,0,,,5.20E-05,5.20E-05,5.20E-05,,,,,1,1,60,60,19230.76953,0,0,1,Reconnaissance,Service_Scan
50,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3369,2,120,RST,1526344333,145,5.20E-05,5.20E-05,0,,,5.20E-05,5.20E-05,5.20E-05,,,,,1,1,60,60,19230.76953,0,0,1,Reconnaissance,Service_Scan
51,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,465,3,180,RST,1526344333,146,8.10E-05,8.10E-05,0,,,8.10E-05,8.10E-05,8.10E-05,,,,,2,1,120,60,24691.35938,12345.67969,0,1,Reconnaissance,Service_Scan
52,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,49175,2,120,RST,1526344333,147,3.50E-05,3.50E-05,0,,,3.50E-05,3.50E-05,3.50E-05,,,,,1,1,60,60,28571.42773,0,0,1,Reconnaissance,Service_Scan
53,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1801,2,120,RST,1526344333,148,4.10E-05,4.10E-05,0,,,4.10E-05,4.10E-05,4.10E-05,,,,,1,1,60,60,24390.24414,0,0,1,Reconnaissance,Service_Scan
54,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,20005,2,120,RST,1526344333,149,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
55,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,49153,2,120,RST,1526344333,150,3.60E-05,3.60E-05,0,,,3.60E-05,3.60E-05,3.60E-05,,,,,1,1,60,60,27777.77734,0,0,1,Reconnaissance,Service_Scan
56,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,2179,2,120,RST,1526344333,151,1.20E-05,1.20E-05,0,,,1.20E-05,1.20E-05,1.20E-05,,,,,1,1,60,60,83333.32813,0,0,1,Reconnaissance,Service_Scan
57,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,33,2,120,RST,1526344333,152,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
58,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,50300,2,120,RST,1526344333,153,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
59,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5555,2,120,RST,1526344333,154,3.60E-05,3.60E-05,0,,,3.60E-05,3.60E-05,3.60E-05,,,,,1,1,60,60,27777.77734,0,0,1,Reconnaissance,Service_Scan
60,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,6580,2,120,RST,1526344333,155,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
61,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,19350,2,120,RST,1526344333,156,2.70E-05,2.70E-05,0,,,2.70E-05,2.70E-05,2.70E-05,,,,,1,1,60,60,37037.03516,0,0,1,Reconnaissance,Service_Scan
62,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,49161,2,120,RST,1526344333,157,2.90E-05,2.90E-05,0,,,2.90E-05,2.90E-05,2.90E-05,,,,,1,1,60,60,34482.75781,0,0,1,Reconnaissance,Service_Scan
63,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1914,2,120,RST,1526344333,158,2.90E-05,2.90E-05,0,,,2.90E-05,2.90E-05,2.90E-05,,,,,1,1,60,60,34482.75781,0,0,1,Reconnaissance,Service_Scan
64,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,2301,2,120,RST,1526344333,159,4.60E-05,4.60E-05,0,,,4.60E-05,4.60E-05,4.60E-05,,,,,1,1,60,60,21739.13086,0,0,1,Reconnaissance,Service_Scan
65,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,3828,2,120,RST,1526344333,160,4.60E-05,4.60E-05,0,,,4.60E-05,4.60E-05,4.60E-05,,,,,1,1,60,60,21739.13086,0,0,1,Reconnaissance,Service_Scan
66,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,5357,2,120,RST,1526344333,161,4.60E-05,4.60E-05,0,,,4.60E-05,4.60E-05,4.60E-05,,,,,1,1,60,60,21739.13086,0,0,1,Reconnaissance,Service_Scan
67,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,21571,2,120,RST,1526344333,162,3.40E-05,3.40E-05,0,,,3.40E-05,3.40E-05,3.40E-05,,,,,1,1,60,60,29411.76367,0,0,1,Reconnaissance,Service_Scan
68,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1198,2,120,RST,1526344333,163,2.40E-05,2.40E-05,0,,,2.40E-05,2.40E-05,2.40E-05,,,,,1,1,60,60,41666.66406,0,0,1,Reconnaissance,Service_Scan
69,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1106,2,120,RST,1526344333,164,2.40E-05,2.40E-05,0,,,2.40E-05,2.40E-05,2.40E-05,,,,,1,1,60,60,41666.66406,0,0,1,Reconnaissance,Service_Scan
70,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,1070,2,120,RST,1526344333,165,2.50E-05,2.50E-05,0,,,2.50E-05,2.50E-05,2.50E-05,,,,,1,1,60,60,40000,0,0,1,Reconnaissance,Service_Scan
71,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,9877,2,120,RST,1526344333,166,4.10E-05,4.10E-05,0,,,4.10E-05,4.10E-05,4.10E-05,,,,,1,1,60,60,24390.24414,0,0,1,Reconnaissance,Service_Scan
72,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,6646,2,120,RST,1526344333,167,3.60E-05,3.60E-05,0,,,3.60E-05,3.60E-05,3.60E-05,,,,,1,1,60,60,27777.77734,0,0,1,Reconnaissance,Service_Scan
73,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,17,2,120,RST,1526344333,168,4.10E-05,4.10E-05,0,,,4.10E-05,4.10E-05,4.10E-05,,,,,1,1,60,60,24390.24414,0,0,1,Reconnaissance,Service_Scan
74,1526344333,e,tcp,192.168.100.150,36663,192.168.100.3,801,2,120,RST,1526344333,169,5.00E-05,5.00E-05,0,,,5.00E-05,5.00E-05,5.00E-05,,,,,1,1,60,60,20000,0,0,1,Reconnaissance,Service_Scan
